OBJECTID,TILE_NAME,LOCATION,PLAN_TILE,PLN_AREA,Z_APPROVAL,Z_DIMENSIO,ZONING,TRAN_COR,ANID
368,M9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-m9.pdf,M9,P,P,P,P,N,368
369,M8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-m8.pdf,M8,P,P,P,P,N,369
370,M6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-m6.pdf,M6,P,P,P,P,N,370
371,M7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-m7.pdf,M7,P,P,P,P,N,371
372,M5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-m5.pdf,M5,P,P,P,P,N,372
373,L10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l10.pdf,L10,P,P,P,P,N,373
374,L9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l9.pdf,L9,P,P,P,P,N,374
375,L11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l11.pdf,L11,P,P,P,P,N,375
376,L12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l12.pdf,L12,P,P,P,P,N,376
377,L8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l8.pdf,L8,P,P,P,P,N,377
378,L7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l7.pdf,L7,P,P,P,P,N,378
379,L6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l6.pdf,L6,P,P,P,P,N,379
380,L5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l5.pdf,L5,P,P,P,P,N,380
381,K10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k10.pdf,K10,P,P,P,P,N,381
382,K11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k11.pdf,K11,P,P,P,P,N,382
383,K9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k9.pdf,K9,P,P,P,P,N,383
384,K12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k12.pdf,K12,P,P,P,P,N,384
385,K8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k8.pdf,K8,P,P,P,P,N,385
386,K7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k7.pdf,K7,P,P,P,P,N,386
387,K5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k5.pdf,K5,P,P,P,P,N,387
388,K6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k6.pdf,K6,P,P,P,P,N,388
389,J10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-j10.pdf,J10,P,P,P,P,N,389
390,J11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-j11.pdf,J11,P,P,P,P,N,390
391,P10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p10.pdf,P10,P,P,P,P,N,391
392,P9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p9.pdf,P9,P,P,P,P,N,392
393,P8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p8.pdf,P8,P,P,P,P,N,393
394,P7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p7.pdf,P7,P,P,P,P,N,394
395,P6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p6.pdf,P6,P,P,P,P,N,395
396,P5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p5.pdf,P5,P,P,P,P,N,396
397,P4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p4.pdf,P4,P,P,P,P,N,397
398,O9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o9.pdf,O9,P,P,P,P,N,398
399,O10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o10.pdf,O10,P,P,P,P,N,399
400,O11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o11.pdf,O11,P,P,P,P,N,400
401,O12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o12.pdf,O12,P,P,P,P,N,401
402,O8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o8.pdf,O8,P,P,P,P,N,402
